local_designation|rb_factor_catalogue|ps1_designation|sherlock_distancempc|dec_psf|sherlock_host_ra|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|rb_factor_image|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|sherlock_host_dec|target|ref|diff|mjd_obs
11KYSEhrw|0.511714|PS21lty||10.123300872765283|318.65546200800003|0.0741249|20.1045|SN|GOOD|1237656241691165702|i|0.938731|SDSS/PS1|2021-11-01||2021aczb|318.65550592235735|1211437321100723900|10.123509542|1211437321100723900_59519.282_121000098_1140_target|1211437321100723900_59519.282_121000098_1140_ref|1211437321100723900_59519.282_121000098_1140_diff|59519.2827803004
11KYSEhsn|0.468199|PS21lug|985.708024|43.270874846944935|131.5887494144073|0.124683|20.678|SN|GOOD|1237657608038383843|r|0.988477|SDSS/PS1|2021-11-01|0.201032|2021aczi|131.58770404353717|1084621031431615000|43.271242998954285|1084621031431615000_59519.636_121036130_245_target|1084621031431615000_59519.636_121036130_245_ref|1084621031431615000_59519.636_121036130_245_diff|59519.6365812455
11KYSEhrs|0.0962869|PS21luf||17.848256703770524|7.102588906|0.146726|21.1875|SN|GOOD|129410071025637303|g|0.783245|PS1|2021-11-01||2021aczh|7.102088834021598|1002824481175053600|17.847452206|1002824481175053600_59519.277_120997626_346_target|1002824481175053600_59519.277_120997626_346_ref|1002824481175053600_59519.277_120997626_346_diff|59519.2776366737
11KYSEhru|0.181419|PS21ltx||24.68421645373879|357.2871004754739|0.166764|20.6616|SN|GOOD|1237678541165101420|r|0.854381|SDSS/PS1|2021-11-01||2021acza|357.2869174269516|1234908851244103100|24.684190116991473|1234908851244103100_59519.270_120995519_334_target|1234908851244103100_59519.270_120995519_334_ref|1234908851244103100_59519.270_120995519_334_diff|59519.2701477813
11KYSEhsk|0.996195|PS21lub||49.3495253631714|132.220875|0.0535498|19.8016|NT|GOOD|SDSSJ084853.01+492059.0|r|0.999267|NED|2021-11-01||2021aczd|132.22113337652397|1084853071492058300|49.34975|1084853071492058300_59519.637_121036202_151_target|1084853071492058300_59519.637_121036202_151_ref|1084853071492058300_59519.637_121036202_151_diff|59519.6370221948
11KYSEhsd|0.26021|||-4.541729081805335|52.06694357053433|0.246855|20.999|UNCLEAR|POSSIBLE|S1TR000527|i|0.595578|GSC/PS1|2021-11-01|||52.06697397060256|1032816080043230500|-4.541774224229706|1032816080043230500_59519.567_121029246_253_target|1032816080043230500_59519.567_121029246_253_ref|1032816080043230500_59519.567_121029246_253_diff|59519.5679646829
11KYSEhsg|0.864988|||-3.9846189787688164|49.40370117|0.0990879|20.0795|SN|POSSIBLE|103210494037247267|i|0.857014|PS1|2021-11-01|||49.40366662410875|1031736870035904400|-3.985849598|1031736870035904400_59519.567_121029149_222_target|1031736870035904400_59519.567_121029149_222_ref|1031736870035904400_59519.567_121029149_222_diff|59519.5670976251
11KYSEhro|0.0492914|||8.40583911331596|321.21377437759827|0.153516|21.1155|SN|POSSIBLE|1237678875635548318|i|0.719745|SDSS|2021-11-01|||321.21271305795835|1212451051082421000|8.406972004268777|1212451051082421000_59519.283_121000824_1391_target|1212451051082421000_59519.283_121000824_1391_ref|1212451051082421000_59519.283_121000824_1391_diff|59519.2836678302
11KYSEhrj|0.0726905|||10.383313503805947|318.052264956|0.126907|20.9807|SN|POSSIBLE|120463180522631570|i|0.442842|PS1|2021-11-01|||318.05231914275134|1211212551102259800|10.384266002|1211212551102259800_59519.282_121000105_1484_target|1211212551102259800_59519.282_121000105_1484_ref|1211212551102259800_59519.282_121000105_1484_diff|59519.2827803004
11KYSEhrv|0.202629|||14.608951738510143|318.65605399|0.116195|20.7867|SN|POSSIBLE|125523186560379442|i|0.880637|PS1|2021-11-01|||318.6568624056223|1211437631143632200|14.607423954|1211437631143632200_59519.283_121000819_1364_target|1211437631143632200_59519.283_121000819_1364_ref|1211437631143632200_59519.283_121000819_1364_diff|59519.2832169486
11KYSEhrr|0.404218|||13.744073233745318||0.134158|21.002|ORPHAN|POSSIBLE||i|0.772187||2021-11-01|||318.8584839236071|1211526031134438500||1211526031134438500_59519.283_121000805_1801_target|1211526031134438500_59519.283_121000805_1801_ref|1211526031134438500_59519.283_121000805_1801_diff|59519.2832169486
